cropedno,faculty,semester,subject,year,imagecropped,desc,keyword,fullpaperid
22,BCE,1,DSA,"",ioepng/21.png,"   Institute of Engineering has six departments having 16, 32, 61, 8, 6 and 24 computers. Use 192.168.1.0/24 to distribute the’ network. Find the network address, broadcast address, usable IP range and subnet mask in each department. [8] ","subnet network ip 192 departments",1
23,BCE,1,DSA,"",ioepng/22.png,"1, What are the features of Client/Server Architecture? What ere headers and trailers and how do they get added and removed? [4+] ","server client architecture headers features",1
24,BCE,1,DSA,"",ioepng/23.png,"7., What is TFTP? Explain working principle of FTP with data transfer process including proper port connestion. Use proper diagram to justify your answer. (246) ","tftp ftp port transfer process",1
25,BCE,1,DSA,"",ioepng/24.png,"bere] 10, Write short notes on: (Any two) [444] ) Firewall and their types ) 803 Token Bus ©) Virtual circuit switching ","firewall token circuit bus 803",1
26,BCE,1,DSA,"",ioepng/25.png,"6.. Explain the TCP segment structure, Why TCP is known as reliable protocol and also describe how reliability is provided by TCP? [4]     ","tcp protocol reliability reliable structure",1
27,BCE,1,DSA,"",ioepng/26.png,"2. Why the telephone companies developed ISDN? Explain the working principle of ISDN with its interface and functional group. (246)  3. Explain the working principle of CSMA/CD with appropriate figure, [8) ","isdn telephone principle csma interface",1
28,BCE,1,DSA,"",ioepng/27.png,"8, List the advantages of IPv6 over IPv4, Explain any two transition strategies for IPv4 to IPv6. (246) ","ipv6 ipv4 advantages strategies transition",1
29,BCE,1,DSA,"",ioepng/28.png,"‘Sj, What is routing? Differentiate between distance vector and link state routing algorithms. [2+6]    ","routing algorithms sj distance vector",1
30,BCE,1,DSA,"",ioepng/29.png,"9. List the properties of secure communication. Encrypt and decrypt “ROSE” using RSA algorithm. p64 ","rsa decrypt encrypt secure rose",1
31,BCE,1,DSA,"",ioepng/30.png,"9. List the properties of secure communication. Encrypt and decrypt “ROSE” using RSA algorithm. +6] 10, Write short notes on: (Any two) (44    ","encrypt decrypt rsa secure communication",1
32,BCE,1,DSA,"",ioepng/31.png,"   ‘uj; What is routing? Differentiate between distance vector and link state routing algorithms. [2+6] ","routing algorithms uj distance vector",1
33,BCE,1,DSA,"",ioepng/32.png,"   with its interface and functional group. 3. Explain the working principle of CSMAJCD with appropriate figure.    ","csmajcd functional interface principle group",1
34,BCE,1,DSA,"",ioepng/33.png,"10. Write short notes on: (any two) i) Typesof firewals FDDI Socket programming    ","socket fddi programming firewals typesof",1
35,BCE,1,DSA,"",ioepng/34.png,"   6. Wow connection is established and released in TCP. Explain Token Bucket algorithm, [444]    ","tcp bucket token connection 444",1
36,BCE,1,DSA,"",ioepng/35.png,"   4 “Mention the criteria for good routing, Explia RIP, O' OSPF,BGP, IGRP and EIGRP.—_[2+6]      ","routing bgp ospf criteria eigrp",1
37,BCE,1,DSA,"",ioepng/36.png,"1. Distinguish between Client Server network and Peer-Peer network. Explain Open Systema  Interconnection (OS!) model. By    ","network peer systema interconnection client",1
38,BCE,1,DSA,"",ioepng/37.png,"7. Which protocols are used in sending and receiving an email? Illustrate with necessary figure. Give a comparison of POP3 and IMAP. 1543) ","protocols imap email sending pop3",1
39,BCE,1,DSA,"",ioepng/38.png,"5, How can you dedicate 32, 65, 10, 21, 9 public IP address to the departments A, B, C, D ‘and E respectively form the poo! of class CTP addresses with minimum loss. Explain. (8) ","addresses ip ctp address departments",1
40,BCE,1,DSA,"",ioepng/39.png,"3, What is the main fimctionality of data link layer? Differentiate between circuit switching  ‘and packet switching. 4) ","packet layer switching data circuit",1
41,BCE,1,DSA,"",ioepng/40.png,"‘8. What are the factors that lead to the speedy development of IPv6? Define the process of ‘transition from IPv4 to IPv6.  [4]    ","ipv6 ipv4 development speedy transition",1
42,BCE,1,DSA,"",ioepng/41.png,"2 Define transmission media. Compare among Twisted Pair, Coaxial cable and Fiber optic. B45)       ","coaxial transmission cable media fiber",1
43,BCE,1,DSA,"",ioepng/42.png,"‘8 What are the factors that lead to the speedy development of IPV6? Define the process of “¢eaneition from IPv4 to IPv6. [444] ","ipv6 ipv4 development speedy factors",1
44,BCE,1,DSA,"",ioepng/43.png,"9, Define type of Encryption used in security. How PGP can secure email communication? _ [5+3]  In, Uirien heat netes on: (any two) [44] ","encryption secure pgp email security",1
45,BCE,1,DSA,"",ioepng/44.png,"9. Define type of Encryption used in security. How PGP can secure email communication? [5+3] a tiead ","encryption secure pgp email security",1
46,BCE,1,DSA,"",ioepng/45.png,"1, Why layering is important? Explain design issues for layers in detail. Mention service ‘primitives for implementing connection oriented service. [+449]       ","layers layering service connection design",1
47,BCE,1,DSA,"",ioepng/46.png,"3. State the various design issues for the data link layer. What is piggybacking? A bit string O1111011111101111110 needs to be transmitted atthe data Tink layer. What isthe string ‘actually transmitted after bit stuffing? (34342) ","data piggybacking o1111011111101111110 layer string",1
48,BCE,1,DSA,"",ioepng/47.png,"4. Why routing is essential in computer networking? Compare working of distance vector {© routing algoritam with link ste routing algorithm. Bs] ","routing networking distance algorithm vector",1
49,BCE,1,DSA,"",ioepng/48.png,"10, Write short notes on: (aay two) (4+) Flow control in D22  x25  ‘ALOHA    ","d22 flow aloha x25 control",1
50,BCE,1,DSA,"",ioepng/49.png,"8, What are the methods used to interoperate IPv6 and IPv4. Show IPv6 datagram format. [62] ","ipv6 ipv4 datagram methods format",1
51,BCE,1,DSA,"",ioepng/50.png,"5, Design a network for 5 departments containing 29, 14, 15, 23 and 5 computers, Take network example IP 202.83.54.91/25. 8) ","network ip departments computers design",1
52,BCE,1,DSA,"",ioepng/51.png,"6, What are the differences between TCP and UDP services? Explain the TCP datagram format in detail. Bes) ","udp tcp datagram differences services",1
53,BCE,1,DSA,"",ioepng/52.png,"7. Define socket programming. How web server communication and file server ‘communication are possible in network. Explain with used protocols. 1642 ","protocols socket server communication web",1
54,BCE,1,DSA,"",ioepng/53.png,"‘switching and packet switching. Explain ISDN channels with B+)    ","isdn channels packet switching explain",1
55,BCE,1,DSA,"",ioepng/54.png,"9, What is VPN? Encrypt a message ""network"" using RSA algorithm.  p+) ","vpn rsa encrypt network algorithm",1
56,BCE,1,DSA,"",ioepng/55.png,"5. Suppose we have 4 departments A, B, C and D having 25 hosts, 16 hosts, 29 hosts and 11 hhosts respectively. You are given a network 202.70.91.0/24. Perform the subnetting in such a way that the IP address wastage in each department is minimum and find out the Subnet ‘mask, network address, broadcast address and usable host range in each ‘department.  (8) ","subnetting subnet ip hosts network",1
57,BCE,1,DSA,"",ioepng/56.png,"1, What are the reasons for using layered protocols? What are headers and trailers and how do they get added and removed? B+) ","protocols layered headers trailers reasons",1
58,BCE,1,DSA,"",ioepng/57.png,"7. For the client-server application over TCP, why must the server program be executed before the client program? TCP is known as reliable process, describe how reliability is provided by TCP. Bs) ","tcp client server reliability process",1
59,BCE,1,DSA,"",ioepng/58.png,"3. What is meant by byte stuffing technique? What is piggy backing? Suppose a bit string, 0111101111101111110, needs to be transmitted at the data link layer. What is the string actually transmitted after bit stuffing? (34243)    ","byte stuffing string piggy transmitted",1
60,BCE,1,DSA,"",ioepng/59.png,"4. Why do we think that there arised the need of classless IP address although class based IP address was in used? Show the classless IP with an example. [aes] ","classless ip class address aes",1
61,BCE,1,DSA,"",ioepng/60.png,"2. Why do you think that static channel assignment is not efficient? Explain about the operation of Cartier Sense Multiple Access with Collision Detection. +6)    ","channel cartier static efficient assignment",1
62,BCE,1,DSA,"",ioepng/61.png,"eee 6. Explain the differences between TCP and UDP. How congestions can be handled using ‘Token Bucket? Explain with proper diagram. (8)    ","udp congestions tcp bucket token",1
63,BCE,1,DSA,"",ioepng/62.png,"10. Write short notes on: (Any Two) a) DHCP mn 'b) Firewall * ©) DNS : “ ","firewall dhcp dns mn 10",1
64,BCE,1,DSA,"",ioepng/63.png,"8, “IPv4 and IPv6 coexists” what does this mean? Explain Dual stack approach with an ‘appropriate figure. +5] ","ipv6 ipv4 stack coexists dual",1
65,BCE,1,DSA,"",ioepng/64.png,"‘9, What are the attributes of information Security? Explain the operation of RSA algorithm. (44) eo meal          ","rsa security information operation algorithm",1
66,BCE,1,DSA,"",ioepng/65.png,"9. What are the attributes of information Security? Explain the operation of RSA algorithm. [44] ","rsa security attributes information operation",1
67,BCE,1,DSA,"",ioepng/66.png,"1} 3.  ‘Suppose you'are a private consultant hired by a company to setup the network for their enierprise and you are given a large number of consecutive IP address stating at 120.89:96.0/19. Suppose that four departments A, B, C and D request 100, 500, 800 and 400 addresses respectively, how the subneting can be performed so that address wastage will be minimum?      ","subneting ip addresses network minimum",1
68,BCE,1,DSA,"",ioepng/67.png,"9, Explain briefly the desirable properties of secure communication. Explain how Packet  filtering firewall Works. iar] 10, Write short notes ag: (Any two) [a4] 2) SMTP and POP* b) Diffie Hetiman's Ach  ©) CS! > 4) DLL Flaw Control Mechanisms    ","firewall packet communication secure smtp",1
69,BCE,1,DSA,"",ioepng/68.png,"6. Explain the TCP protocol with its Header. What do you understand by socket? Explain with its importance,     (543]    ","tcp socket protocol header 543",1
70,BCE,1,DSA,"",ioepng/69.png,"1. What is the significance of OSI layer? Explain different layers of OSI with its functionalities. 2+6) ","osi layers layer functionalities significance",1
71,BCE,1,DSA,"",ioepng/70.png,"3, What are the causes of packet delay in computer networks? What are the differences ‘between circuit switching and packet switching? 246)    ","packet delay networks circuit switching",1
72,BCE,1,DSA,"",ioepng/71.png,"7. What is recursive and iterative query? Explain with suitable diagram. Discuss the DNS records. (642) ","recursive iterative dns query records",1
73,BCE,1,DSA,"",ioepng/72.png,"'8. List the advantages of IPvs over [Pvy. Explain header translation and tunneling approach ‘used for migrating IPva to IPv., [44] ","ipv ipvs ipva pvy tunneling",1
74,BCE,1,DSA,"",ioepng/73.png,"4, What is classful and classless address? Differentiate between link state and distance ‘vector routing protocol. 8) ","classless classful routing protocol address",1
75,BCE,1,DSA,"",ioepng/74.png,"2. Define switching and multiplexing. Explain about any two guided transmission media in detail. [2+6]    ","multiplexing transmission switching media guided",1
76,BCE,1,DSA,"",ioepng/75.png,"‘Compare OSI layer with TCPAP Layer? Explain in which level of OSI layer following tasks are done. (543) i). Error detection and correction  ii) Encryption and Decryption of data  iif) Logical identification of computer  jv) Point-to-point connection of socket  ¥) Dialogue control  vi) Physical identification of computer ","tcpap osi layer socket detection",1
77,BCE,1,DSA,"",ioepng/76.png,"4, Explain how can you allocate 30, 24, 25 and 20 IP addresses to the four different department of ABC company with minimum wastage, Specify the range of IP addresses, Broadcast Address, Network Address and Subnet mask for each department form the given address poo! 202.77.19.0/24. 18) ","addresses ip subnet address abc",1
78,BCE,1,DSA,"",ioepng/77.png,"6. For the client-server application over TCP, why must the server program be executed before the client program? TCP is known a8 reliable process how, describe reliability is provided by TCP. Bs)    ","tcp client server reliability process",1
79,BCE,1,DSA,"",ioepng/78.png,"   2. Explain five instances of how networks are a part of your life today. Through we have ‘MAC address, why do we use IP address to represent the host in networks? Explain your answer, '     (543) ","ip networks host mac address",1
80,BCE,1,DSA,"",ioepng/79.png,"10. Write short notes on:  8) Simple Mail Transfer Protocol b) Doman Name Server  [42] ","protocol mail transfer server doman",1
81,BCE,1,DSA,"",ioepng/80.png,"7. Compare the header fields of IPV6 and IPV4, Which method do you suggest for the migration of IPv6 and why? ia ","ipv6 ipv4 migration header fields",1
82,BCE,1,DSA,"",ioepng/81.png,"Explain five instances of how networks are a part of your life today. Through we have ‘MAC address, why do we use IP address to represent the host in networks? Explain your answer. : (543) Briefly explain different types of Data Link Layer framing mechanisms. List the features    ","ip networks layer framing host",1
83,BCE,1,DSA,"",ioepng/82.png,"9. Write down the steps involved in RSA encryption algorithm. Encrypt the word CAT tsing RSA algorithm, choose the sutabe dat for encryption by youself coring to RSA algorithm. {8} ","encryption rsa encrypt algorithm steps",1
84,BCE,1,DSA,"",ioepng/83.png,"5. What is routed and routing protocol? Give examples, Explain Token Bucket algorithm. [4+]    ","routing protocol routed token bucket",1
85,BCE,1,DSA,"",ioepng/84.png,"3. Briefly explain different types of Data Link Layer framing mechanistns. List the features of FDL. oy ","fdl layer data features mechanistns",1
86,BCE,1,DSA,"",ioepng/85.png,"8, Explain briefly how firewalls protect network and also explain different types of Firewall Illustrate your answer with appropriate figures. (8) ","firewalls firewall network protect types",1
87,BCE,1,DSA,"",ioepng/86.png,"O_O EEE answer, : (543)  3. Briefly explain different types of Data Link Layer framing mechanisins. List the fetures of FDI. (8) ","fdi mechanisins layer fetures framing",1
88,BCE,1,DSA,"",ioepng/87.png,"4  rr You are a private contractor hired by the lange company to setup the network for their Shictprise and you are given a large number of consecutive IP address starting at 202.70.64.0/19. Suppose that four department A, B, C and D request 100, $00, 800 and Ait ildresses respectively how the subnetting can be performed so, tat adres wastage will be minimum?  8) ","subnetting ip network minimum ait",1
89,BCE,1,DSA,"",ioepng/88.png,"   the congestion, Con gasark congestion? Explain how different network parameters effect the congestion. Compare operation of link state routing with the distance vector routing. [2424] geet    ","congestion routing network parameters gasark",1
90,BCE,1,DSA,"",ioepng/89.png,"   10. Write short notes on: [2]  i) HDLC il) Web Server ","hdlc server web notes 10",1
91,BCE,1,DSA,"",ioepng/90.png,"1. Diferentte between TCP/IP and OSI Model, Define Frame Relay in etal (513) * wm. ","relay tcp etal osi ip",1
92,BCE,1,DSA,"",ioepng/91.png,"‘6. How web server communicatic explain with used protocol  ion and file server communication are possible in network, Define socket programming. 162)    ","protocol socket server communication web",1
93,BCE,1,DSA,"",ioepng/92.png,"   2, What do you mean by switching in communication? Compare switching with ‘multiplexing. Explain the E1 Telephone hierarchy system, (24244)    ","multiplexing communication telephone switching hierarchy",1
94,BCE,1,DSA,"",ioepng/93.png,"oo je ne 3. What do you understand by Media Access Controt? What is its significance in data link layer? Explain why token bus is also called as the token ring, fov244) ","media token access fov244 bus",1
95,BCE,1,DSA,"",ioepng/94.png,"8 Fompare symmetric key encryption method with asymmetric key encryption. Explain RSA algorithm with example. B+5] ","rsa encryption symmetric asymmetric algorithm",1
96,BCE,1,DSA,"",ioepng/95.png,"aver? Fe bngnderstand by Media Access Control? What is its significance in data link layer? Explain why token bus is also called asthe token rng. (24244)  et Vee       ","token bus data access rng",1
97,BCE,1,DSA,"",ioepng/96.png,"   9. What do you mean by firewall? Explain different types of firewall, +6] 10. Write short notes en: ","firewall 10 types explain notes",1
98,BCE,1,DSA,"",ioepng/97.png,"6 Why port number is used in networking? What are the services of transport layer? Difltrentiate between TCP and UDP protocol. 14245) ","port tcp udp networking transport",1
99,BCE,1,DSA,"",ioepng/98.png,". You'are given the following address space 10.10.10.0124. You have to assign addresses to 4 <epartments with the following hosts 5, 16, 23 and 27 respectively. Perform the subnetting in such a way that the IP address wastage in each department are minimum. Also find out the subet mask, network adress, broadcast address and unassigned range in each department. [10]    ","subnetting ip addresses network assign",1
100,BCE,1,DSA,"",ioepng/99.png,"10. Write short notes on: 42)  a) SSL ») WEP ","ssl notes 10 wep 42",1
101,BCE,1,DSA,"",ioepng/100.png,"1, What do you mean by network architecture? Compare TCP/IP and OSI reference models Explain X.25 Network with its key feature. [24343] ","architecture network tcp ip osi",1
102,BCE,1,DSA,"",ioepng/101.png,"‘8. What are the problems of IPv4? How IPV6 reduce these problems? Explain different strategies to transit from IPv4 and IPv6. R24) ","ipv4 ipv6 transit problems r24",1
103,BCE,1,DSA,"",ioepng/102.png,"7. What is DNS? Explain the structure of DNS request and response with practical example. [2+6)    ","dns structure response request example",1
104,BCE,1,DSA,"",ioepng/103.png,"2. What is ISDN? Explain about the ISDN architecture in detail with example. [2+6) ","isdn architecture explain example",1
105,BCE,1,DSA,"",ioepng/104.png,"3, What are multiple access protocols? Explain how multiple access is achieved in IEEE 802.5.[2+6] ","protocols 802 ieee access multiple",1
106,BCE,1,DSA,"",ioepng/105.png,"7. What is DNS? Explain the structure of DNS request and response with practical example. [2+6] ","dns structure response request example",1
107,BCE,1,DSA,"",ioepng/106.png,"   9. What is public key cryptography? Explain about RSA algorithm in detail [246] ","rsa cryptography algorithm public key",1
108,BCE,1,DSA,"",ioepng/107.png,"4, What is network security? Explain Virtual Private Network (VPN) with an example. [244] ","vpn security network private virtual",1
109,BCE,1,DSA,"",ioepng/108.png,"3. What are multiple access protocols? Explain how multiple access is achieved in IEEE 802.5.[2+6) ","protocols 802 ieee access multiple",1
110,BCE,1,DSA,"",ioepng/109.png,"1, You are assigned to design network infrastructure for a 3-star hotel. Recommend a ‘network solution with hardwares and softwares in current trend that ean be used in the hhotel. Make necessary assumptions and justify” your recommadation with logical arguments where possible. (81 ","network infrastructure hotel ean design",1
111,BCE,1,DSA,"",ioepng/110.png,"10, Write short notes on: [42] 4) Digital signature : b) IPSec       ","ipsec signature notes 10 digital",1
112,BCE,1,DSA,"",ioepng/111.png,"   2. List out the functions of physical layer in TCP/IP reference model. Explain different types of transmission media. 26) ","tcp transmission layer media physical",1
113,BCE,1,DSA,"",ioepng/112.png,"‘What vare the functions of network layer? Explain briefly about multicast routing protocols and unicast routing protocols. +6) ","multicast protocols routing layer network",1
114,BCE,1,DSA,"",ioepng/113.png,"'S. Network layer is one of the: key: layers in OSI reference model, why? Differentiate ‘between distance vector routing and static link routing. [246] ","routing layers layer network osi",1
115,BCE,1,DSA,"",ioepng/114.png,"7. What are the different components of email server? Explain different types of electronic ‘mail sending and accessing protocol. (246)    ","mail email protocol electronic server",1
116,BCE,1,DSA,"",ioepng/115.png,"3. What are the functions of data-link layer? Explain the channel allocation problem with example. +5]    ","layer allocation data channel functions",1
117,BCE,1,DSA,"",ioepng/116.png,"| 8. What is IPV6? What methods are used so that IPV6 and IPV4 networks are interoperable? (26)    ","ipv6 ipv4 networks methods interoperable",1
118,BCE,1,DSA,"",ioepng/117.png,"“6. -Whats a TCP connection? Explain how a TCP connection can be gracefully terminated. R61    ","tcp connection terminated gracefully r61",1
119,BCE,1,DSA,"",ioepng/118.png,"‘9. What is firewall? What are their types? Encrypt and decrypt ""OVEL"" message using RSA algorithm. [+146] ","firewall encrypt rsa decrypt ovel",1
120,BCE,1,DSA,"",ioepng/119.png,"‘Write short notes on: (any two) 8) ARP  by ICMP  our    ","arp icmp notes write short",1
121,BCE,1,DSA,"",ioepng/120.png,"2. What is iransmission media? Explain about any three transmnission media in detail. [2+6] ","iransmission media transmnission explain",1
122,BCE,1,DSA,"",ioepng/121.png,"6. Distinguish between TCP and UDP. How is TCP connection established? Explain. Bs) ","tcp udp connection distinguish bs",1
123,BCE,1,DSA,"",ioepng/122.png,"3. What are the major functions of data link layer? Explain about framing in detail. G+5) ","layer framing data functions explain",1
124,BCE,1,DSA,"",ioepng/123.png,"1, What is computer network? Distinguish between OSI and TCPAP reference model. [246] ","tcpap network osi computer model",1
125,BCE,1,DSA,"",ioepng/124.png,"10, Write short notes on: (any two) [4x2] a) WEP ») IDs 9) SSL ","ssl ids 10 4x2 notes",1
126,BCE,1,DSA,"",ioepng/125.png,"7. SMEP is a text based protocol and uses 7 bit ascii. How can this be used to transmit ‘somictimes like images? Explain.  8) ","smep transmit protocol ascii somictimes",1
127,BCE,1,DSA,"",ioepng/126.png,"8, Whit are the drawbacks in IPV4? Which ofthese drawbacks do IPV6 solve? Explain. (2+6] ","ipv6 ipv4 drawbacks explain solve",1
128,BCE,1,DSA,"",ioepng/127.png,"4, What is routing? Differentiate between link state routing and distance vector routing. = [2*6)  Pea faeal    ","routing vector distance pea state",1
129,BCE,1,DSA,"",ioepng/128.png,"9, What is cryptography? Differentiate between symmetric key and public key xyptography, 6 ","cryptography xyptography symmetric key public",1
130,BCE,1,DSA,"",ioepng/129.png,"4. What is routing? Differentiate between link state routing and distance vector routing. [26] 55, Write short notes on: (any two) [ars] ","routing distance vector write ars",1
131,BCE,1,DSA,"",ioepng/130.png,"1, What is computer network? Distinguish between OSI and TCP/IP reference model. [+6]    ","tcp network ip osi computer",1
132,BCE,1,DSA,"",ioepng/131.png,"1, What are the features of ClientServer Architecture? What are headers and trailers and hhow do they get added and removed? Explain, [44]    ","clientserver architecture headers features trailers",1
133,BCE,1,DSA,"",ioepng/132.png,"3. What is the difference between Error Correcting and Error detection process? A bit string OLL1I011111011111110 needs to be transmitted at the data link layer what is string actually transmitted after bit stuffing, if flag patters is 01111110. 1543] ","oll1i011111011111110 01111110 detection transmitted correcting",1
134,BCE,1,DSA,"",ioepng/133.png,"4. Explain the working. principle of different types of network devices Repeater, HUB, “Bridge, Switch and Rotter {8} ","repeater network devices hub types",1
135,BCE,1,DSA,"",ioepng/134.png,"2. What do you mean by data switching? Explain about various types of switching with ‘practical implementation example. (8) ","data switching implementation types example",1
136,BCE,1,DSA,"",ioepng/135.png,"‘7. What do you mean by email server? What are the protocols used on it?  [246] ","email protocols server used 246",1
137,BCE,1,DSA,"",ioepng/136.png,"Sj) How can you dedicate 10, 12, 8,.14 public IP addresses to department A,B, C and D respectively from the poo! of class C with minimum losses of IP? Explain. [8] ","ip addresses department public minimum",1
138,BCE,1,DSA,"",ioepng/137.png,"   6. Explain the UDP segment structure. Mlustrate your answer with appropriate figures. 8    ","udp segment structure mlustrate figures",1
139,BCE,1,DSA,"",ioepng/138.png,"9. Explain briefly how firewalls protect network and also explain different types of Firewall. Ilustrate your answer with appropriate figures.  8] ","firewalls firewall network protect types",1
140,BCE,1,DSA,"",ioepng/139.png,"10. What do you mean by Network security? Explain the operation of Data Eneryption Standard Algorithm? Bs) ","security network data algorithm operation",1
141,BCE,1,DSA,"",ioepng/140.png,"10. What do you mean by Network security? Explain the operation of Data Encryption Standard Algorithm? (B45) ","encryption security network b45 data",1
142,BCE,1,DSA,"",ioepng/141.png,"7.” What do you mean by email server? What are the protocols used on it?  Pte] ","email protocols server pte used",1
143,BCE,1,DSA,"",ioepng/142.png,"   ‘4. What is the contribution of sub-netting in TP address management? Show the importance in this case. Banijya bank need to allocate 15 IPs in HR department, 30 in finance epartment, 24 in customer care unit and 25 in ATM machines. If you have one network lf class C range public IP address. Describe how you will manage it. 8)    ","ip ips netting network tp",1
144,BCE,1,DSA,"",ioepng/143.png,"eplain the need of Networking Software in the form of Hierarchy? Mention in which level layer of OSI reference model following tasks are done. [62] ji) Timing and voltage of received signal Encryption and decryption of data Data framing jv) Point-to-point connection of socket.           ","hierarchy networking software osi layer",1
145,BCE,1,DSA,"",ioepng/144.png,"6. Why do you think that there exist two protocols in transport layer where as there exists ‘only one protocol in Internet layer in TCPAP reference model. Explain token bucket  algorithm for congestion control [53] ","protocols protocol tcpap congestion transport",1
146,BCE,1,DSA,"",ioepng/145.png,"   7. What is HTTP protocol? With an example explain how a request initiated by a HTTP  client is served by a HTTP server.     B64 ","http protocol server b64 client",1
147,BCE,1,DSA,"",ioepng/146.png,"8. Explain the IPv6 datagram format and the function of each field with necessary igure. [8]    ","ipv6 datagram format field function",1
148,BCE,1,DSA,"",ioepng/147.png,"9. Compare symmetric key encryption method with asymmetric key encryption, Describe  ‘the operation of RSA algorithm, [a4] ","rsa encryption symmetric asymmetric algorithm",1
149,BCE,1,DSA,"",ioepng/148.png,"10. What is network security? How can firewalls enhance network security? Explain how ‘rewalls ean protect a system. [2244]    ","firewalls security rewalls network protect",1
150,BCE,1,DSA,"",ioepng/149.png,"43, Explain different types of Data link layer framing mechani     {8}       ","mechani layer data types 43",1
151,BCE,1,DSA,"",ioepng/150.png,"2. Define switching and multiplexing. Differentiate between circuit switching and packet  switehing. [44] ","multiplexing packet switching switehing circuit",1
152,BCE,1,DSA,"",ioepng/151.png,"   5. Why is routing protocol necessary? Explain the working process of Routing Information  protocol (RIP) with example. Gs) ","protocol routing information gs necessary",1
153,BCE,1,DSA,"",ioepng/152.png,"   10. What is network security? How can firewalls enhance network security? Explain how firewalls can protect a system. [2244] ","firewalls security network protect 10",1
